Date,Time,avg(temp),avg(humidity),max(pir),max(nearPir),min(ch1),max(ch1),min(ch2),max(ch2),min(als),max(als),min(tp0),max(tp0),min(tp1),max(tp1),min(tp2),max(tp2),min(tp3),max(tp3)
2020-03-03,07:00,22.40,45.26,25.00,,,,,,0.00,0.00,,,,,,,,
2020-03-03,07:15,22.34,45.31,23.00,,,,,,0.00,0.00,,,,,,,,
2020-03-03,07:30,22.29,45.23,25.00,,,,,,0.00,0.00,,,,,,,,
2020-03-03,07:45,22.25,45.20,23.00,,,,,,0.00,0.00,,,,,,,,
2020-03-03,08:00,22.22,45.38,112.00,,,,,,0.00,0.00,,,,,,,,
2020-03-03,08:15,22.11,45.52,25.00,,,,,,0.00,0.00,,,,,,,,
2020-03-03,08:30,22.04,45.52,22.00,,,,,,0.00,0.00,,,,,,,,
2020-03-03,08:45,22.02,45.59,27.00,,,,,,0.00,0.00,,,,,,,,
2020-03-03,09:00,22.02,45.54,27.00,,,,,,0.00,0.00,,,,,,,,
2020-03-03,09:15,,,,,,,,,,,,,,,,,,
2020-03-03,09:30,21.95,45.40,24.00,,,,,,0.00,0.00,,,,,,,,
2020-03-03,09:45,21.91,45.20,25.00,,,,,,0.00,0.00,,,,,,,,
2020-03-03,10:00,21.87,45.21,22.00,,,,,,0.00,0.00,,,,,,,,
2020-03-03,10:15,,,,,,,,,,,,,,,,,,
2020-03-03,10:30,21.76,45.31,25.00,,,,,,0.00,0.00,,,,,,,,
2020-03-03,10:45,21.70,45.22,22.00,,,,,,0.00,0.00,,,,,,,,
2020-03-03,11:00,21.67,45.18,23.00,,,,,,0.00,0.00,,,,,,,,
2020-03-03,11:15,21.63,45.12,38.00,,,,,,0.00,0.00,,,,,,,,
2020-03-03,11:30,21.57,45.20,23.00,,,,,,0.00,0.00,,,,,,,,
2020-03-03,11:45,21.56,45.15,25.00,,,,,,0.00,0.00,,,,,,,,
2020-03-03,12:00,21.54,45.09,22.00,,,,,,0.00,1.00,,,,,,,,
2020-03-03,12:15,21.52,44.97,980.00,,,,,,0.00,2.00,,,,,,,,
2020-03-03,12:30,21.87,42.41,82.00,,,,,,1.00,3.00,,,,,,,,
2020-03-03,12:45,22.39,41.67,32.00,,,,,,2.00,4.00,,,,,,,,
2020-03-03,13:00,22.42,43.23,412.00,,,,,,3.00,6.00,,,,,,,,
2020-03-03,13:15,22.42,44.16,334.00,,,,,,5.00,10.00,,,,,,,,
2020-03-03,13:30,22.38,44.76,296.00,,,,,,6.00,7.00,,,,,,,,
2020-03-03,13:45,22.33,46.03,287.00,,,,,,7.00,11.00,,,,,,,,
2020-03-03,14:00,22.26,46.65,375.00,,,,,,7.00,9.00,,,,,,,,
2020-03-03,14:15,,,,,,,,,,,,,,,,,,
2020-03-03,14:30,22.25,46.46,301.00,,,,,,5.00,8.00,,,,,,,,
2020-03-03,14:45,22.25,46.86,280.00,,,,,,5.00,6.00,,,,,,,,
2020-03-03,15:00,22.33,46.80,538.00,,,,,,3.00,7.00,,,,,,,,
2020-03-03,15:15,22.60,44.42,288.00,,,,,,6.00,8.00,,,,,,,,
2020-03-03,15:30,23.09,42.71,284.00,,,,,,5.00,6.00,,,,,,,,
2020-03-03,15:45,23.04,44.25,301.00,,,,,,6.00,6.00,,,,,,,,
2020-03-03,16:00,23.01,45.36,297.00,,,,,,5.00,6.00,,,,,,,,
2020-03-03,16:15,23.01,45.91,266.00,,,,,,5.00,5.00,,,,,,,,
2020-03-03,16:30,23.03,46.28,337.00,,,,,,4.00,5.00,,,,,,,,
2020-03-03,16:45,23.03,47.21,301.00,,,,,,4.00,5.00,,,,,,,,
2020-03-03,17:00,23.03,47.33,334.00,,,,,,5.00,6.00,,,,,,,,
2020-03-03,17:15,23.05,46.50,27.00,,,,,,5.00,6.00,,,,,,,,
2020-03-03,17:30,23.07,46.48,26.00,,,,,,6.00,6.00,,,,,,,,
2020-03-03,17:45,23.09,46.52,24.00,,,,,,5.00,6.00,,,,,,,,
2020-03-03,18:00,23.08,46.48,25.00,,,,,,4.00,6.00,,,,,,,,
2020-03-03,18:15,23.07,46.56,27.00,,,,,,4.00,4.00,,,,,,,,
2020-03-03,18:30,23.06,46.79,321.00,,,,,,3.00,4.00,,,,,,,,
2020-03-03,18:45,23.12,46.84,287.00,,,,,,3.00,4.00,,,,,,,,
2020-03-03,19:00,23.08,46.26,310.00,,,,,,3.00,5.00,,,,,,,,
2020-03-03,19:15,23.06,46.55,87.00,,,,,,2.00,4.00,,,,,,,,
2020-03-03,19:30,23.06,47.33,303.00,,,,,,1.00,4.00,,,,,,,,
2020-03-03,19:45,23.07,47.04,27.00,,,,,,0.00,3.00,,,,,,,,
2020-03-03,20:00,23.04,48.38,346.00,,,,,,1.00,4.00,,,,,,,,
2020-03-03,20:15,22.97,48.69,224.00,,,,,,2.00,2.00,,,,,,,,
2020-03-03,20:30,22.92,48.42,248.00,,,,,,2.00,2.00,,,,,,,,
2020-03-03,20:45,22.84,48.37,20.00,,,,,,2.00,2.00,,,,,,,,
